skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
3,4095,6535,393.2081528017137,2,1.0,0.0,973,887,1325,808,973,887,1325,808,360.75615032872275
3,4095,4542,51.04163056034261,1,1.0,0.0,973,887,1016,905,973,887,1016,905,46.61544808322666
2,4108,4728,78.14213562373094,2,1.0,0.0,974,345,1045,336,974,345,1045,336,71.56814934033156
2,4108,4557,86.56854249492373,1,1.0,0.0,974,345,1018,411,974,345,1018,411,79.32212806020776
1,4120,4133,25.899494936611667,1,1.0,0.0,974,2545,975,2522,974,2545,975,2522,23.021728866442675
1,4133,4981,117.49747468305826,1,1.0,0.0,975,2522,1078,2557,975,2522,1078,2557,108.78419002777932
1,4554,4586,11.656854249492381,1,1.0,0.0,1017,2434,1021,2424,1017,2434,1021,2424,10.770329614269007
1,4554,6273,292.2964645562821,2,1.0,0.0,1017,2434,1287,2475,1017,2434,1287,2475,273.09522148876937
2,4728,5241,89.76955262170043,2,1.0,0.0,1045,336,1119,305,1045,336,1119,305,80.23091673413684
2,4728,5161,88.49747468305827,1,1.0,0.0,1045,336,1106,384,1045,336,1106,384,77.62087348130012
4,5105,5399,47.870057685088796,2,1.0,0.0,1099,1400,1135,1377,1099,1400,1135,1377,42.720018726587654
4,5105,5391,52.28427124746189,1,1.0,0.0,1099,1400,1134,1429,1099,1400,1134,1429,45.45327270945405
2,5241,5672,79.18376618407353,1,1.0,0.0,1119,305,1173,264,1119,305,1173,264,67.80117993073571
2,5241,6807,281.7817459305205,2,1.0,0.0,1119,305,1375,259,1119,305,1375,259,260.0999807766237
4,5279,5415,33.97056274847714,1,1.0,0.0,1123,1330,1137,1357,1123,1330,1137,1357,30.4138126514911
4,5399,5415,20.82842712474619,2,1.0,0.0,1135,1377,1137,1357,1135,1377,1137,1357,20.09975124224178
4,5399,6158,144.76955262170043,2,1.0,0.0,1135,1377,1269,1361,1135,1377,1269,1361,134.9518432626987
4,5415,5472,8.071067811865476,1,1.0,0.0,1137,1357,1143,1352,1137,1357,1143,1352,7.810249675906654
0,5523,9054,654.1076477383257,1,1.0,0.0,1151,1959,1766,2016,1151,1959,1766,2016,617.635815023708
0,5523,5562,22.242640687119287,1,1.0,0.0,1151,1959,1154,1980,1151,1959,1154,1980,21.213203435596427
4,6158,6558,76.6690475583121,1,1.0,0.0,1269,1361,1328,1324,1269,1361,1328,1324,69.6419413859206
4,6158,6607,73.21320343559641,2,1.0,0.0,1269,1361,1335,1377,1269,1361,1335,1377,67.91170738539859
1,6273,7373,178.76955262170048,2,1.0,0.0,1287,2475,1454,2494,1287,2475,1454,2494,168.0773631397161
1,6273,6395,38.21320343559643,1,1.0,0.0,1287,2475,1302,2507,1287,2475,1302,2507,35.34119409414458
3,6513,6535,10.242640687119284,1,1.0,0.0,1322,817,1325,808,1322,817,1325,808,9.486832980505138
3,6535,9611,888.2569260369942,1,1.0,0.0,1325,808,2122,605,1325,808,2122,605,822.4463508339009
4,6593,6607,9.414213562373096,1,1.0,0.0,1334,1368,1335,1377,1334,1368,1335,1377,9.055385138137417
4,6607,7099,91.72792206135783,2,1.0,0.0,1335,1377,1422,1387,1335,1377,1422,1387,87.5728268357257
2,6807,7149,66.04163056034261,2,1.0,0.0,1375,259,1428,236,1375,259,1428,236,57.77542730261716
2,6807,7254,75.69848480983498,2,1.0,0.0,1375,259,1438,260,1375,259,1438,260,63.00793600809346
4,7099,7602,75.59797974644663,2,1.0,0.0,1422,1387,1480,1353,1422,1387,1480,1353,67.23094525588644
4,7099,8210,177.8822509939087,2,1.0,0.0,1422,1387,1565,1450,1422,1387,1565,1450,156.26259949200897
2,7149,7917,126.81118318204301,2,1.0,0.0,1428,236,1524,180,1428,236,1524,180,111.13955191559843
2,7149,7254,28.142135623730955,2,1.0,0.0,1428,236,1438,260,1428,236,1438,260,26.0
2,7254,7862,80.31370849898474,1,1.0,0.0,1438,260,1515,266,1438,260,1515,266,77.23341245859851
1,7373,7726,48.21320343559643,1,1.0,0.0,1454,2494,1495,2478,1454,2494,1495,2478,44.01136216933077
1,7373,8538,183.66904755831212,1,1.0,0.0,1454,2494,1616,2535,1454,2494,1616,2535,167.10774967068403
4,7548,7602,14.071067811865476,1,1.0,0.0,1475,1341,1480,1353,1475,1341,1480,1353,13.0
4,7602,8343,111.55634918610403,2,1.0,0.0,1480,1353,1587,1342,1480,1353,1587,1342,107.56393447619885
2,7917,7971,16.899494936611667,1,1.0,0.0,1524,180,1531,166,1524,180,1531,166,15.652475842498529
2,7917,8503,90.97056274847712,1,1.0,0.0,1524,180,1610,180,1524,180,1610,180,86.0
4,8085,8210,31.970562748477146,1,1.0,0.0,1549,1473,1565,1450,1549,1473,1565,1450,28.0178514522438
