skeleton-id,filename,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,branch-distance
3.0,test_image_11.png,867.0,2507.0,895.0,2517.0,35.55634918610405
3.0,test_image_11.png,867.0,2513.0,895.0,2517.0,35.55634918610404
2.0,test_image_11.png,870.0,1915.0,1094.0,1847.0,270.99494936611677
2.0,test_image_11.png,870.0,1915.0,1917.0,1884.0,1114.2741699796968
4.0,test_image_11.png,892.0,770.0,1107.0,705.0,247.78174593052043
4.0,test_image_11.png,892.0,770.0,1177.0,759.0,303.6396103067895
3.0,test_image_11.png,895.0,2517.0,954.0,2520.0,61.071067811865476
3.0,test_image_11.png,947.0,2413.0,994.0,2450.0,72.28427124746189
3.0,test_image_11.png,947.0,2413.0,1245.0,2354.0,327.7523086789979
3.0,test_image_11.png,954.0,2520.0,1068.0,2593.0,145.4091629284897
3.0,test_image_11.png,994.0,2450.0,999.0,2441.0,12.828427124746192
3.0,test_image_11.png,994.0,2450.0,1096.0,2468.0,110.6274169979695
4.0,test_image_11.png,1177.0,759.0,1383.0,715.0,230.08326112068528
4.0,test_image_11.png,1177.0,759.0,1482.0,729.0,321.56854249492403
3.0,test_image_11.png,1241.0,2368.0,1245.0,2354.0,16.242640687119284
3.0,test_image_11.png,1245.0,2354.0,1251.0,2354.0,6.0
3.0,test_image_11.png,1251.0,2348.0,1251.0,2354.0,6.0
3.0,test_image_11.png,1251.0,2354.0,1415.0,2358.0,170.62741699796956
3.0,test_image_11.png,1415.0,2358.0,2021.0,2150.0,692.7422074112327
3.0,test_image_11.png,1415.0,2358.0,1418.0,2371.0,14.242640687119286
4.0,test_image_11.png,1482.0,729.0,1484.0,724.0,5.82842712474619
4.0,test_image_11.png,1482.0,729.0,2038.0,650.0,593.6934341759525
2.0,test_image_11.png,1916.0,1895.0,1917.0,1884.0,11.414213562373096
2.0,test_image_11.png,1917.0,1884.0,2017.0,1905.0,108.69848480983495
2.0,test_image_11.png,2016.0,1918.0,2017.0,1905.0,14.242640687119287
2.0,test_image_11.png,2017.0,1905.0,2086.0,1915.0,73.14213562373094
0.0,test_image_12.png,375.0,1913.0,448.0,1913.0,78.79898987322332
1.0,test_image_12.png,400.0,2442.0,440.0,2449.0,42.89949493661166
2.0,test_image_12.png,424.0,1421.0,447.0,1414.0,25.899494936611667
1.0,test_image_12.png,432.0,2471.0,442.0,2468.0,11.242640687119286
1.0,test_image_12.png,440.0,2449.0,465.0,2448.0,26.82842712474619
1.0,test_image_12.png,440.0,2449.0,442.0,2468.0,19.82842712474619
1.0,test_image_12.png,442.0,2468.0,460.0,2483.0,25.384776310850242
2.0,test_image_12.png,447.0,1414.0,461.0,1401.0,22.899494936611667
2.0,test_image_12.png,447.0,1414.0,492.0,1431.0,53.4558441227157
0.0,test_image_12.png,448.0,1913.0,490.0,1835.0,95.39696961966992
0.0,test_image_12.png,448.0,1913.0,1335.0,1751.0,960.7300141024127
3.0,test_image_12.png,450.0,376.0,469.0,379.0,21.071067811865476
4.0,test_image_12.png,457.0,910.0,505.0,935.0,58.355339059327356
1.0,test_image_12.png,460.0,2483.0,461.0,2483.0,1.0
1.0,test_image_12.png,460.0,2483.0,461.0,2483.0,2.414213562373095
2.0,test_image_12.png,461.0,1401.0,465.0,1393.0,9.65685424949238
2.0,test_image_12.png,461.0,1401.0,487.0,1406.0,28.071067811865476
1.0,test_image_12.png,461.0,2483.0,471.0,2480.0,11.828427124746192
1.0,test_image_12.png,465.0,2448.0,471.0,2480.0,34.485281374238575
